"Designator","Quantity","Comment","Description","Manufacturer_Part_Number","LCSC Part Number","Mouser Part Number","JLC Part Number 1","JLC Part Number 2","Digikey Part Number 1",
"B1,B2,B3",3,"Pairing Button",,"KMR221NGLFS","C269272",,"C99271","C72443","401-1429-1-ND",
"C1, C2, C4,C5,C8,C10,C11,C12",8,"0.1UF","CAP CER 0.1UF 25V X7R 0603","06036C104MAZ2A",,"581-06036C104MAZ2A","C14663","C1590","311-1344-1-ND",
"C3",1,"10uF",,"CL10A106MQ8NNNC","C1691",,"C87152","C77041","587-5869-1-ND",
"C6,C7, C9,",3,"1µF","Ceramic Capacitors   For new designs, use the packages preceded by an '_' character since they are more reliable:   The following footprints should be used on most boards: _0402 - Standard footprint for regular board layouts  _0603 - Standard footprint for regular board layouts  _0805 - Standard footprint for regular board layouts  _1206 - Standard footprint for regular board layouts       For extremely tight-pitch boards where space is at a premium, the following 'micro-pitch' footprints can be used (smaller pads, no silkscreen outline, etc.): _0402MP - Micro-pitch footprint for very dense/compact boards  _0603MP - Micro-pitch footprint for very dense/compact boards  _0805MP - Micro-pitch footprint for very dense/compact boards  _1206MP - Micro-pitch footprint for very dense/compact boards","CL10B105KQ8NNNC","C105524",,"C15849","C5673","587-2400-1-ND",
"D1, D4",2,"LMBR120FT1G",,"LMBR120FT1G","C81143",,"C131783","C180182","1655-1925-1-ND",
"D2",1,"Orange Led","Orange Led","17-21/S2C-FR1S2L/3T","C264419",,"C84262","C131202","160-1434-1-ND",
"D5",1,"Green Led","Green Led","17-21/GHC-YR1T1/3T","C174298",,"C434432","C107402","160-1435-1-ND",
"D3",1,"0.96"" i2c Olded Display","Header, 4-Pin",,,,,,,
"D6",1,"Red Led","Red Led","17-21/R7C-AN2Q1B/3T","C2844454",,"C72037","C131244","SML-D12U1WT86CT-ND",
"IC1",1,"CP2104-F03-GMR","CP2104 - USB to UART Bridge    VDD Output: 3.45V","CP2104-F03-GMR","C47742",,"C109102",,"No pin compatible available",
"Q1, Q2",2,"MMBT2222ALT1G","Integrated Circuit","MMBT2222ALT1G","C82460",,"C699249","C916372","3757-MMBT2222A_R1_00001CT-ND",
"Q3",1,"DMG3415U","P-Channel Mosfet   LEGEND   VDS: Voltage Drain-Source ID: Drain Current RDS(ON): Drain-Source On-State Resistance VGS(TH): Gate-Source Threshold Voltage CISS: Drain-Source Input Capacitance    SOT-23   Name	VDS	ID	RDS(ON)	VGS(TH)	CISS	Order Number	   IRLML5103	30V	760mA	600 mOhm	--	75pF @ 25V	Digikey: IRLML5103PBFCT-ND	   IRLML6401	12V	4.3A	50 mOhm	950mV @ 250µA	830pF @ 10V	Digikey: IRLML6401PBFTR-ND	   NTR0202PL	20V	400mA	800 mOhm	2.3V @ 250uA	70pF @ 5V	Digikey: NTR0202PLT1GOSTR-ND	   NTR4101PT1G	20V	1.8A	85 mOhm	1.2V @ 250uA	675pF @ 10V	Digikey: NTR4101PT1GOSCT-ND	   DMP2004K	20V	600mA	900 mOhm	1V @ 250uA	175pF @ 16V	Digikey: DMP2004KDICT-ND	   PMV65XP	20V	3.9A	76 mOhm	950mV @ 1mA	725pF @ 20V	Digikey: 568-2358-2-ND	   							   							TO-252   Name	VDS	ID	RDS(ON)	VGS(TH)	CISS	Order Number	   AOD417	30V	25A	34 mOhm	3V @ 250µA	920pF @ 15V	Digikey: 785-1106-2-ND	PowerPak   Name	VDS	ID	RDS(ON)	VGS(TH)	CISS	Order Number	   AON7401	30V	12A	14 mOhm	3V @ 250µA	2600pF @ 15V	Digikey: 785-1302-1-ND","DMG3415U-7","C709946",,"C181094","C13799","TSM650P02CXRFGCT-ND",
"Q4",1,"2N7002,215","N Channel  Mosfet","2N7002,215","C65189",,"C504047","C81445","1727-4793-1-ND",
"Q5",1,"BSS84",,"BSS84","C193020",,"C127273","C152212","T2N7002BKLMCT-ND",
"R1, R2, R3, R4, R16, R17,R19,R20",6,"10kΩ 0603","Resistor","RMC060310KFN","C269701",,"C25804","C269701","1276-3485-1-ND",
"R5",1,"1.5kΩ 0603","Resistor","RMC06031.5K1%N","C269443",,"C22843","C192807","RMCF0603FT1K50CT-ND",
"R6, R7,R18",3,"1KΩ 0603","Resistor","RMC06031K1%N","C269704",,"C21190","C881323","RMCF0603FG1K00CT-ND",
"R8, R9, R11",3,"4k7Ω 0603","Resistor","CR0603FA4701G","C101062",,"C99782","C269713","RMCF0603FT4K70CT-ND",
"R10, R12, R13,R14, R15",5,"100KΩ 0603","Resistor","RMCF0603FT100K","C237792",,"C25803","C189597","RMCF0603FT100KCT-ND",
"S1",1,"SS-12D11G5R (BAT Slide Switch)","Switch","SS-12D11G5R","C692484",,"No pin compatible available",,"EG2478-ND",
"T1",1,"Battery Connector",,"1769",,"485-1769","C225233",,"H125443CT-ND",
"U1",1,"ESP32-WROOM-32__16MB_","Integrated Circuit","ESP32-WROOM-32 (16MB)","C529578",,"C473012","C529581","1904-1025-1-ND",
"U2",1,"ADXL345",,"ADXL345BCCZ-RL","C579457",,"C9667",,"ADXL345BCCZ-ND",
"U3",1,"MCP73831-2-OT",,"MCP73831T-2ACI/OT","C424093",,"C14879",,"161-LTC4054XES5-4.2#TRMPBFCT-ND","MCP73832T-2DCI/OTCT-ND"
