Altium Designer Pick and Place Locations
C:\Users\Timoti\OneDrive\WorkSpace\4-UpWork\ESP32_EMC_Update-HoldenKarau-TinyShuffle\Elektronic\P1\Project Outputs for PCB_Project\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       15.01.22
Time:       18:11
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U3","MCP73831-2-OT","TopLayer","SOT95P270X145-5N","1247.496","2804.075","270",""
"C6","1µF","TopLayer","0603_Capacitor","667.965","2848.815","90","Ceramic Capacitors   For new designs, use the packages preceded by an '_' character since they are more reliable:   The following footprints should be used on most boards: _0402 - Standard footprint for regular board layouts  _0603 - Standard footprint for regular board layouts  _0805 - Standard footprint for regular board layouts  _1206 - Standard footprint for regular board layouts       For extremely tight-pitch boards where space is at a premium, the following 'micro-pitch' footprints can be used (smaller pads, no silkscreen outline, etc.): _0402MP - Micro-pitch footprint for very dense/compact boards  _0603MP - Micro-pitch footprint for very dense/compact boards  _0805MP - Micro-pitch footprint for very dense/compact boards  _1206MP - Micro-pitch footprint for very dense/compact boards"
"D4","MBR120","TopLayer","SODFL3616X98N","745.965","2870.559","90",""
"Q3","DMG3415U","TopLayer","SOT96P237X111-3N","876.304","2868.689","0","P-Channel Mosfet   LEGEND   VDS: Voltage Drain-Source ID: Drain Current RDS(ON): Drain-Source On-State Resistance VGS(TH): Gate-Source Threshold Voltage CISS: Drain-Source Input Capacitance    SOT-23   Name	VDS	ID	RDS(ON)	VGS(TH)	CISS	Order Number	   IRLML5103	30V	760mA	600 mOhm	--	75pF @ 25V	Digikey: IRLML5103PBFCT-ND	   IRLML6401	12V	4.3A	50 mOhm	950mV @ 250µA	830pF @ 10V	Digikey: IRLML6401PBFTR-ND	   NTR0202PL	20V	400mA	800 mOhm	2.3V @ 250uA	70pF @ 5V	Digikey: NTR0202PLT1GOSTR-ND	   NTR4101PT1G	20V	1.8A	85 mOhm	1.2V @ 250uA	675pF @ 10V	Digikey: NTR4101PT1GOSCT-ND	   DMP2004K	20V	600mA	900 mOhm	1V @ 250uA	175pF @ 16V	Digikey: DMP2004KDICT-ND	   PMV65XP	20V	3.9A	76 mOhm	950mV @ 1mA	725pF @ 20V	Digikey: 568-2358-2-ND	   							   							TO-252   Name	VDS	ID	RDS(ON)	VGS(TH)	CISS	Order Number	   AOD417	30V	25A	34 mOhm	3V @ 250µA	920pF @ 15V	Digikey: 785-1106-2-ND	PowerPak   Name	VDS	ID	RDS(ON)	VGS(TH)	CISS	Order Number	   AON7401	30V	12A	14 mOhm	3V @ 250µA	2600pF @ 15V	Digikey: 785-1302-1-ND"
"R10","100K","TopLayer","RES0603","642.965","2929.288","0","Resistors   For new designs, use the packages preceded by an '_' character since they are more reliable:   The following footprints should be used on most boards: _0402 - Standard footprint for regular board layouts  _0603 - Standard footprint for regular board layouts  _0805 - Standard footprint for regular board layouts  _1206 - Standard footprint for regular board layouts       For extremely tight-pitch boards where space is at a premium, the following 'micro-pitch' footprints can be used (smaller pads, no silkscreen outline, etc.): _0402MP - Micro-pitch footprint for very dense/compact boards  _0603MP - Micro-pitch footprint for very dense/compact boards  _0805MP - Micro-pitch footprint for very dense/compact boards  _1206MP - Micro-pitch footprint for very dense/compact boards"
"U7","NCV8187AMT330TAG","TopLayer","SON65P200X200X80-7N","569.626","2831.288","180","Integrated Circuit"
"R19","10k 0603","TopLayer","RES0603","370.611","3124.288","90","Resistor"
"C3","CAPC1608N-0.1UF","TopLayer","0603_Capacitor","524.611","1371.075","270","CAP CER 0.1UF 25V X7R 0603"
"R20","10k 0603","TopLayer","RES0603","370.611","3354.319","90","Resistor"
"C11","100n","TopLayer","0603_Capacitor","312.611","3123.303","90",""
