Altium Designer Pick and Place Locations
C:\Users\Timoti\OneDrive\WorkSpace\4-UpWork\ESP32_EMC_Update-HoldenKarau-TinyShuffle\Elektronic\P1\Project Outputs for PCB_Project\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       15.01.22
Time:       18:12
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U3","MCP73831-2-OT","TopLayer","SOT95P270X145-5N","31.6864","71.2235","270",""
"C6","1µF","TopLayer","0603_Capacitor","16.9663","72.3599","90","Ceramic Capacitors   For new designs, use the packages preceded by an '_' character since they are more reliable:   The following footprints should be used on most boards: _0402 - Standard footprint for regular board layouts  _0603 - Standard footprint for regular board layouts  _0805 - Standard footprint for regular board layouts  _1206 - Standard footprint for regular board layouts       For extremely tight-pitch boards where space is at a premium, the following 'micro-pitch' footprints can be used (smaller pads, no silkscreen outline, etc.): _0402MP - Micro-pitch footprint for very dense/compact boards  _0603MP - Micro-pitch footprint for very dense/compact boards  _0805MP - Micro-pitch footprint for very dense/compact boards  _1206MP - Micro-pitch footprint for very dense/compact boards"
"D4","MBR120","TopLayer","SODFL3616X98N","18.9475","72.9122","90",""
"Q3","DMG3415U","TopLayer","SOT96P237X111-3N","22.2581","72.8647","0","P-Channel Mosfet   LEGEND   VDS: Voltage Drain-Source ID: Drain Current RDS(ON): Drain-Source On-State Resistance VGS(TH): Gate-Source Threshold Voltage CISS: Drain-Source Input Capacitance    SOT-23   Name	VDS	ID	RDS(ON)	VGS(TH)	CISS	Order Number	   IRLML5103	30V	760mA	600 mOhm	--	75pF @ 25V	Digikey: IRLML5103PBFCT-ND	   IRLML6401	12V	4.3A	50 mOhm	950mV @ 250µA	830pF @ 10V	Digikey: IRLML6401PBFTR-ND	   NTR0202PL	20V	400mA	800 mOhm	2.3V @ 250uA	70pF @ 5V	Digikey: NTR0202PLT1GOSTR-ND	   NTR4101PT1G	20V	1.8A	85 mOhm	1.2V @ 250uA	675pF @ 10V	Digikey: NTR4101PT1GOSCT-ND	   DMP2004K	20V	600mA	900 mOhm	1V @ 250uA	175pF @ 16V	Digikey: DMP2004KDICT-ND	   PMV65XP	20V	3.9A	76 mOhm	950mV @ 1mA	725pF @ 20V	Digikey: 568-2358-2-ND	   							   							TO-252   Name	VDS	ID	RDS(ON)	VGS(TH)	CISS	Order Number	   AOD417	30V	25A	34 mOhm	3V @ 250µA	920pF @ 15V	Digikey: 785-1106-2-ND	PowerPak   Name	VDS	ID	RDS(ON)	VGS(TH)	CISS	Order Number	   AON7401	30V	12A	14 mOhm	3V @ 250µA	2600pF @ 15V	Digikey: 785-1302-1-ND"
"R10","100K","TopLayer","RES0603","16.3313","74.4039","0","Resistors   For new designs, use the packages preceded by an '_' character since they are more reliable:   The following footprints should be used on most boards: _0402 - Standard footprint for regular board layouts  _0603 - Standard footprint for regular board layouts  _0805 - Standard footprint for regular board layouts  _1206 - Standard footprint for regular board layouts       For extremely tight-pitch boards where space is at a premium, the following 'micro-pitch' footprints can be used (smaller pads, no silkscreen outline, etc.): _0402MP - Micro-pitch footprint for very dense/compact boards  _0603MP - Micro-pitch footprint for very dense/compact boards  _0805MP - Micro-pitch footprint for very dense/compact boards  _1206MP - Micro-pitch footprint for very dense/compact boards"
"U7","NCV8187AMT330TAG","TopLayer","SON65P200X200X80-7N","14.4685","71.9147","180","Integrated Circuit"
"R19","10k 0603","TopLayer","RES0603","9.4135","79.3569","90","Resistor"
"C3","CAPC1608N-0.1UF","TopLayer","0603_Capacitor","13.3251","34.8253","270","CAP CER 0.1UF 25V X7R 0603"
"R20","10k 0603","TopLayer","RES0603","9.4135","85.1997","90","Resistor"
"C11","100n","TopLayer","0603_Capacitor","7.9403","79.3319","90",""
"B3","Wakeup Button","TopLayer","KMR221NGLFS","4.4605","79.4077","180",""
"R18","1K","TopLayer","RES0603","38.4457","86.8470","180",""
"D6","ORANGE","TopLayer","LED","41.5111","86.8470","270",""
"U2","ADXL345BCCZ-RL","TopLayer","ADXL345BCCZRL","16.6525","36.0753","0","Integrated Circuit"
"R15","100K","TopLayer","RES0603","22.4063","64.2185","0",""
"R14","330K","TopLayer","RES0603","22.4063","65.7425","180",""
"R13","100K","TopLayer","RES0603","19.5313","68.2796","90",""
"R12","100K","TopLayer","RES0603","13.3308","67.5295","180",""
"R11","4K7","TopLayer","RES0603","13.3308","68.9011","180",""
"Q5","BSS48","TopLayer","SOT96P237X111-3N","22.2581","68.2571","0",""
"Q4","2N7002,215","TopLayer","SOT96P237X111-3N","16.7550","68.2571","0",""
"USB1","GT-USB-7010B","TopLayer","type_c","52.2612","84.2197","180",""
"C9","10u","TopLayer","0603_Capacitor","31.7114","74.5309","0",""
"C12","0.1uF","TopLayer","0603_Capacitor","35.8041","78.4171","90",""
"D3","0.96" i2c Olded Display","TopLayer","i2c_display","16.6218","17.4126","0","Header, 4-Pin"
"U4","Component_2","TopLayer","m.2","47.5627","8.4649","180",""
"U8","SWARM_M138_mPCIe_2.005"_VHF","TopLayer","RF_VHF_JAE_MM60-52B1-B1-R850_MM60-EZH039-B5-R850_w_2005_mPCIe_card","47.4595","58.3544","180","SWARM M138 MODEM mPCIe 2.005" (50.925mm) x 1.18" (30mm)  Two part connector"
"B1","Pairing Button","TopLayer","KMR221NGLFS","4.4605","85.2497","180",""
"B2","Reset Button","TopLayer","KMR221NGLFS","4.6383","73.5403","0",""
"C1","CAPC1608N-0.1UF","TopLayer","0603_Capacitor","11.8946","42.1877","0","CAP CER 0.1UF 25V X7R 0603"
"C2","CAPC1608N-0.1UF","TopLayer","0603_Capacitor","13.1572","40.1320","0","CAP CER 0.1UF 25V X7R 0603"
"C4","CAPC1608N-0.1UF","TopLayer","0603_Capacitor","49.4250","77.6250","180","CAP CER 0.1UF 25V X7R 0603"
"C5","100n","TopLayer","0603_Capacitor","13.3251","37.3253","270",""
"C10","1u","TopLayer","0603_Capacitor","29.2255","70.7235","90",""
"C8","100n","TopLayer","0603_Capacitor","7.9403","85.1997","90",""
"C7","10u","TopLayer","0603_Capacitor","12.2165","72.3869","90",""
"D1","MBR120","TopLayer","SODFL3616X98N","31.7364","76.7407","0",""
"D2","ORANGE","TopLayer","LED","41.5111","83.5450","270",""
